Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
VwM7THXgaVY,2024-12-30T22:03:18Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,1,0,0,Krishnareddy D,0
9YwOzK8A_mM,2024-12-30T23:54:26Z,3rd Place - Off the Grid [PS5],14,1,0,Darktony9229,0
82aBfW_7x3A,2025-01-01T01:56:26Z,yo bro Off The Grid,8,1,0,Bryan Thomson,0
ZGXjkFDA4MA,2024-12-29T21:09:50Z,Off The Grid Gameplay / Montage (EARLY ACCESS)  Best new Battle Royale?? 🔥,16,1,0,machomigoo,0
yCXPdQFK2HQ,2024-12-31T03:50:45Z,Off The Grid Tournament High Lights,15,0,1,BonesInDirt,0
Yl1I5UeQg_4,2024-12-31T05:49:38Z,Off the grid hookshot,8,0,0,Mikey 0,0
bjph8XEGWNQ,2024-12-31T00:20:43Z,Off The Grid - 16 Kill Game W/ the Flenser,10,0,0,ReezzieTTV,0
G0vBPcek9TM,2024-12-30T14:31:26Z,Off the grid dub with Harry,2,0,0,Kebabsmasher,0
UI66hmtiC1M,2024-12-30T20:58:29Z,Off The Grid Daily Dubs,12,0,0,BRISCO BANKS!,0
JttS7s1-hrk,2024-12-31T05:31:49Z,Off The Grid DUB!!!,26,0,0,Nate Burns,0
_bhDnhX9dNE,2024-12-31T15:00:49Z,Victoria con (GERO) x (FLAW) 14 kills Off The Grid,4,1,0,Rixi OTG,0
Y_RoTcDSZ7k,2024-12-30T23:17:53Z,Off The Grid Live gameplay from GAMEOUT GAMING CREW | GAMEOUT GAMING,6,2,0,GAMEOUT GAMING,0
ZUFSUy9CxK8,2024-12-31T20:58:34Z,Late Night (18+) - OFF THE GRID - GAME / vLOG PLAY,0,0,0,JBrownVidz,0
BJDlaGr20LA,2024-12-31T22:16:57Z,Late Night (18+) - OFF THE GRID - GAME / vLOG PLAY,1,0,0,JBrownVidz,0
e4hkYFWzRyc,2025-01-01T08:51:32Z,🔴LIVE- OFF THE GRID #LIVE #FYP #TIKTOK #NEW #VIRAL #GAMING #OFFTHEGRID,23,8,0,daballstar1,0
RJE0CzgRXjs,2025-01-01T01:50:53Z,"Off The Grid: Eh, who needs a 3rd.",3,1,0,USNDrunkenSailor,0
kVbkxokG3tY,2024-12-31T07:14:17Z,Off the grid yall,0,0,0,zombies8urface,0
jrrM2VSZdWA,2024-12-29T18:51:25Z,Off The Grid Gameplay 15kills no deaths,8,2,2,YakarIsrael,0
67HUEFj_8O4,2024-12-29T18:33:11Z,"Off the grid tournament! [GORE] clans first attempt and secured 30th,31st and 32nd! Savage! ￼",5,0,0,ORBIS,0
ApksPytkCPQ,2024-12-31T11:25:59Z,Off The Grid: 3rd Place Run w @THEULTRAVIOLETCROW,33,1,0,THE ULTRAVIOLET CROW,0
pCe1kxHxxxM,2024-12-30T10:54:06Z,OFF THE GRID,1,0,0,Ray Hollings,0
DfgfW9F9Tms,2024-12-31T06:36:43Z,OFF THE GRID GAMEPLAY,17,0,0,Stygian The Ninja,0
3fUMasQs3D8,2025-01-01T16:54:48Z,Off The Grid - Playing with tops,7,1,1,danimolinac,0
4eZVT1KlE38,2024-12-31T13:32:46Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,5,0,0,Krishnareddy D,0
L5SWGhYUSwg,2024-12-30T14:14:49Z,Top NA East player on off the grid,12,1,0,YTFAKE_XD69,0
lHiropBcKrg,2024-12-30T04:17:00Z,Off The Grid Lets Hit Leaderboard!,13,1,0,Chaos Sigil,0
p-OQWSCqegY,2025-01-01T07:04:47Z,Top NA East player on off the grid,6,2,0,YTFAKE_XD69,0
X4TaBfz6ouU,2024-12-31T06:12:52Z,OFF THE GRID (early access),8,0,0,Banga4KG,0
TinchYi0LpQ,2024-12-30T08:20:41Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,0,0,0,Krishnareddy D,0
pAqP5kI5V7w,2024-12-29T22:10:49Z,Off The Grid quick duo win w/ bullhead,4,1,1,Absolute Yak,0
NNHV2gMj-ys,2025-01-01T05:00:08Z,Off The Grid New Years Quest for 500 subscribers!,6,1,0,Chaos Sigil,0
ls5_eQLjqoM,2024-12-31T11:56:40Z,The Hexe Hunter 🔴Live - OFF THE GRID #OFFTHEGRID  #starweathergaming,42,9,1,StarWeatherGaming,0
5RqAqj9-XQw,2025-01-01T01:50:00Z,Execution Sample Off The Grid Video,19,2,0,Money Merek,0
M8jRzy8cTlI,2024-12-29T19:17:45Z,Off the Grid lets get these hexes!!!  @WeThriveGG @EGM Central,15,1,0,EGM Central,0
K8IqmNEjA3E,2025-01-01T04:55:28Z,"Off the Grid (nft, crypto, blockchain game)",39,2,2,Blockchain Gaming,0
YZNXRMyRQtU,2024-12-29T22:34:04Z,off THE Grid,4,0,0,おんじおんじ,0
Tm8mtMuKuLY,2024-12-30T21:52:14Z,Off the Grid - More Hexe grinding!,12,0,0,Hikari-en,0
Ia4DWTmK8vg,2025-01-01T12:22:39Z,Harvest duck eggs. Catch fish in the forest. Live off the grid,413,4,0,Nông Toàn FARM,0
gvDTgaUyjjg,2024-12-31T20:02:20Z,TEAM REVOLUTION WON THERE FIRST MATCH ON OFF THE GRID / OFF THE GRID EP1!!!!,4,0,0,SUPERIOR 9000,0
cqrN__a0EtM,2024-12-29T21:53:49Z,Off the grid morning kills,2,0,0,J-C-flex,0
3DdrsWAknWg,2025-01-01T11:12:03Z,WWC Off The Grid Podcast,6,1,0,Official World Wide Collaboration ,0
UK9GO616nTo,2025-01-02T12:05:43Z,Off The Grid,12,1,0,Mikey The Third - Topic,0
R1yv5e5_5hI,2024-12-30T12:12:21Z,LIVING OFF THE GRID MAY BE THE ONLY AFFORDABLE WAY TO LIVE THESE DAYS!! #survival,44,9,4,Prepper Zan,0
WpV4bZYdB6I,2025-01-02T19:53:55Z,Off The Grid,6,0,0,33 B4k - Topic,0
rafP4V8XNAg,2024-12-30T00:35:06Z,Living the Off-Grid Dream 🌿✨,4,0,0,Dailypaycheckoffgrid,0
fdEMta9R92M,2024-12-31T08:08:30Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,4,0,1,Krishnareddy D,0
AWZ8JzLaV18,2024-12-29T18:20:08Z,Trying Off The Grid,0,0,0,Grimmwolf87,0
bx1WTqDJhr8,2024-12-31T16:14:41Z,Ripper-Only | No Weapons | 0% Accuracy | Off the Grid Challenge | 22 Kills!,120,8,0,Gunny Gopher,0
VY6Z040ngJE,2024-12-30T17:00:34Z,Victoria fácil 6 kills | Off the grid,1,0,0,Rixi OTG,0
O14AeGBvZcg,2024-12-31T05:41:58Z,OFF THE GRID,1,1,0,zZ_J_SCHAIDT_Zz,0
H2kHyjg79Gg,2025-01-01T07:42:27Z,OFF THE GRID - FIRST GAMEPLAY,10,1,0,RICCA GAMEPLAY,0
4idi5AfBFdI,2024-12-30T03:30:44Z,Off The Grid,11,0,0,Anarchyman28,0
CyCQKIO_Nic,2024-12-30T05:01:15Z,OFF THE GRID pt.1 (Nobody’s safe),8,0,0,ImIzcyy,0
yvqirVdBIMw,2024-12-31T13:00:06Z,"24 hour challenge eating noodles alone, camping off the grid@LindaRepair",1197,10,4,Linda Repair,0
MUBnTnwaeCc,2024-12-30T01:57:07Z,🇵🇭 MARRIED TO FILIPINA LIVING IN THE PHILIPPINES Off Grid Island Family Tiny Solar House Bamboo,14444,649,86,OFF GRID ISLAND FAMILY,0
QfA1v4zgD5s,2024-12-29T23:36:48Z,Off The Grid New Higher Sensitivity And Back To The Phosphor Fury Arm,12,1,0,Mrplayz ,0
YE3p8wKcJK4,2024-12-31T01:34:40Z,"Off the Grid, Extraction Royale,Trios, 01",5,0,0,JinnBane,0
RurfiVrC7CY,2024-12-31T17:13:49Z,OFF the GRID - Uncommon Ground S4 E8,6,0,0,Pittsburgh Beautiful,0
